이름,팀,정렬 WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,비율 타율,비율 출루,비율 장타,비율 OPS,비율 wOBA,비율 wRC+(2022 전),비율 wRC+(2022),비율 wRC+(2023),WAR*,WPA
김동헌,키움,0.74,102,242,211,22,51,5,2,2,66,17,0,0,17,8,0,55,7,3,3,0.242,0.318,0.313,0.631,0.301,,,80.4,0.74,-1.18
안권수,롯데,0.74,95,309,268,42,72,6,1,2,86,29,16,7,30,1,1,40,4,7,3,0.269,0.341,0.321,0.662,0.311,124.9,,85.3,0.74,-0.29
박수종,키움,0.73,23,50,45,7,19,1,2,0,24,3,0,0,3,1,0,6,1,0,1,0.422,0.46,0.533,0.993,0.458,108.6,,184.6,0.73,0.2
김형준,NC,0.71,26,82,72,10,17,2,0,6,37,13,0,0,8,1,0,24,3,1,0,0.236,0.321,0.514,0.835,0.371,97.2,,123.1,0.71,0.17
최원준,KIA,0.69,67,274,238,37,60,11,2,1,78,23,13,5,31,0,0,39,5,5,0,0.252,0.338,0.328,0.666,0.316,65.5,,90.2,0.69,0.53
신민재,LG,0.68,122,331,282,47,78,5,2,0,87,28,37,17,29,1,0,34,5,17,2,0.277,0.344,0.309,0.653,0.301,90.8,,79.3,0.68,0.95
김성욱,NC,0.6,93,204,179,28,40,10,0,6,68,16,6,1,16,5,0,63,7,3,1,0.223,0.304,0.38,0.683,0.315,78.9,78.9,87.5,0.6,-0.52
한준수,KIA,0.49,48,94,86,9,22,4,0,2,32,12,0,0,7,0,0,26,2,1,0,0.256,0.312,0.372,0.684,0.318,88.2,,92.2,0.49,-0.43
박준영,두산,0.48,51,138,127,16,28,7,2,4,51,17,2,1,9,2,1,53,0,0,0,0.22,0.283,0.402,0.684,0.312,79.9,79.9,90.5,0.48,0.76
임병욱,키움,0.47,80,223,208,30,54,11,1,6,85,36,4,0,10,1,0,75,1,1,3,0.26,0.293,0.409,0.701,0.32,51.6,51.6,95.5,0.47,-0.59
오선진,한화,0.46,90,199,165,17,38,6,0,0,44,15,2,0,24,5,0,34,7,3,2,0.23,0.342,0.267,0.609,0.301,,,79.8,0.46,-0.29
이유찬,두산,0.45,103,239,210,31,51,7,2,1,65,16,12,5,20,3,0,51,0,5,1,0.243,0.316,0.31,0.626,0.296,,,76.1,0.45,-0.58
